clique,tamanho,participantes
114,27,P004;P005;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
115,27,P004;P005;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P111;P116;P117;P126;P131;P133;P_TESTE
116,27,P004;P005;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131;P_TESTE
117,27,P004;P005;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133;P_TESTE
118,27,P004;P005;P007;P013;P015;P018;P022;P035;P041;P043;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131;P_TESTE
119,27,P004;P005;P007;P013;P015;P018;P022;P035;P041;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131;P_TESTE
120,27,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131;P_TESTE
121,27,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P111;P116;P121;P124;P126;P131;P_TESTE
122,27,P004;P005;P007;P013;P015;P018;P022;P041;P043;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131;P_TESTE
123,27,P004;P005;P007;P013;P015;P018;P022;P041;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P121;P126;P131;P_TESTE
124,27,P004;P005;P007;P013;P015;P018;P022;P041;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131;P_TESTE
125,27,P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P121;P126;P131;P_TESTE
126,27,P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P106;P111;P116;P121;P126;P131;P133;P_TESTE
127,27,P004;P005;P007;P013;P015;P022;P035;P036;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133;P_TESTE
128,27,P004;P005;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P121;P126;P131;P_TESTE
129,27,P004;P005;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P121;P126;P131;P133;P_TESTE
130,27,P004;P005;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P126;P131;P_TESTE
131,27,P004;P007;P013;P015;P018;P022;P035;P041;P043;P048;P056;P060;P072;P081;P087;P088;P092;P098;P099;P111;P116;P117;P121;P126;P131;P133;P_TESTE
